job_title,company,location,experience,salary
Data Analyst,Spearhead Professional,Hybrid - Noida,8,1700000
Software Engineer,Vibry Business Solutions,Hyderabad,nan,400000
Software Engineer,Fortune India 500 IT Services Company,Hyderabad,2,350000
Software Engineer,Large-Sized Firm in IT Services Sector,Hyderabad,2,350000
Software Engineer,Leading Australian Bank,Hybrid - Bengaluru(Hebbal),6,1500000
Software Engineer,Feuji Software Solutions,Hyderabad,8,2200000
Software Engineer,Vibry Business Solutions,Chennai,nan,400000
Software Engineer,Fortune India 500 IT Services Company,Chennai,2,350000
Software Engineer,Large-Sized Firm in IT Services Sector,Chennai,2,350000
Software Engineer,Valuelabs,Chennai,8,2750000
Software Engineer,Large-Sized Firm in IT Services Sector,Pune,2,350000
Software Engineer- Pune,Saleri India,Pune,4,1300000
Software Engineer - SRE,A.P. Moller Maersk,Hybrid - Pune,6,1900000
Software Engineer,Ideal Innovation,Mumbai(Dadar),0,350000
Software Engineer,Large-Sized Firm in IT Services Sector,Mumbai (All Areas),2,350000
Software Engineer,Bombay Shaving Company,Gurugram,4,1550000
Software Engineer,Large-Sized Firm in IT Services Sector,Delhi / NCR,2,350000
Python Developer,Crevavi Technologies,Hybrid - Mysuru,4,600000
Python Developer,IT MNC,Hybrid - Pune,8,2100000
Python Developer - PAN INDIA,Infosys,Hyderabad,6,1000000
Python Developer (MLOps) _ Hyderabad,Heylus Hr,Hybrid - Hyderabad,4,1000000
Python Developer,TEKsystems,Hybrid - Hyderabad,5,850000
Python Developer,Arohak Technologies,Hyderabad(HITEC City),8,1300000
Python Developer - PAN INDIA,Infosys,Pune,6,1000000
Python Developer,Infosys,Pune,6,900000
ML Python Developer,Fulcrum Worldwide Software,Pune,8,2750000
Python Developer,Lumina Datamatics,Mumbai(Andheri),2,950000
Hiring Python Developer with Datamatics - Mumbai,Datamatics,Mumbai Suburban,6,1650000
Python Developer,Service Industry,Mumbai (All Areas),8,1050000
Python Developer,mnc,Mumbai (All Areas),6,1000000
Python Developer,Service Industry,Mumbai (All Areas),6,650000
Python Developer,Service Industry,Delhi / NCR,8,1050000
UI/UX Designer - Has designed 20+ Premium eCommerce websites,Scoop Services,Hybrid - Bengaluru,nan,550000
ui/ux designer,Rio Business Solutions Pvt Ltd,Coimbatore,0,3900000
UI/UX Designer,Omnicom Media Group,Hybrid - Hyderabad,8,1250000
UI/UX designer,Humworld Solutions Pvt. Ltd.,Chennai,nan,0
UI/UX Designer,Omnicom Media Group,Hybrid - Chennai,8,1250000
UI UX Designer / Fresher's / Delhi NCR,USHEMA MANSYSTEM,Pune,1,450000
Data Visualization Analyst-UI & UX Designer,_VOIS,Hybrid - Pune,3,700000
Ux And Ui Designer,Infogain,Hybrid - Pune,6,1500000
UI UX Designer / Fresher's / Delhi NCR,USHEMA MANSYSTEM,Mumbai (All Areas),1,450000
UI/UX Designer,Talent Corner Hr Services,Mumbai,2,350000
UI/UX Designer,Savit Interactive,Mumbai(Virar +8),4,600000
UI/UX Designer,Cosmos Media,Navi Mumbai,5,900000
UI/UX Designer,Mizzen Digital,Mumbai (All Areas),8,1300000
UI/UX Designer,Super School,Hybrid - Gurugram(Sector 43 Gurgaon),1,1400000
UI/UX Designer - Remote,Profex Tech,Remote,4,750000
Ux And Ui Designer,Byte Digital Consulting,Noida(Sector-62 Noida),4,1100000
